Date,Open,High,Low,Close,Adj Close,Volume
2019-05-16,4.430000,4.520000,4.430000,4.500000,4.483373,3687900
2019-05-17,4.470000,4.510000,4.450000,4.470000,4.453483,1673900
2019-05-20,4.550000,4.630000,4.510000,4.580000,4.563077,2515100
2019-05-21,4.540000,4.540000,4.440000,4.480000,4.463446,1670100
2019-05-22,4.430000,4.510000,4.430000,4.460000,4.443520,1393900
2019-05-23,4.440000,4.440000,4.400000,4.420000,4.403668,816600
2019-05-24,4.460000,4.480000,4.420000,4.440000,4.423594,1153000
2019-05-28,4.440000,4.460000,4.340000,4.340000,4.323964,7518800
2019-05-29,4.400000,4.420000,4.340000,4.400000,4.383742,2670100
2019-05-30,4.420000,4.470000,4.420000,4.450000,4.433557,1349800
2019-05-31,4.400000,4.470000,4.400000,4.420000,4.403668,877500
2019-06-03,4.490000,4.540000,4.440000,4.440000,4.423594,1310100
2019-06-04,4.500000,4.550000,4.430000,4.480000,4.463446,981600
2019-06-05,4.520000,4.520000,4.430000,4.450000,4.433557,1207200
2019-06-06,4.440000,4.460000,4.420000,4.450000,4.433557,981900
2019-06-07,4.510000,4.550000,4.510000,4.510000,4.493336,760600
2019-06-10,4.550000,4.560000,4.460000,4.490000,4.473409,1141100
2019-06-11,4.520000,4.550000,4.510000,4.520000,4.503299,882900
2019-06-12,4.510000,4.550000,4.510000,4.530000,4.513262,294300
2019-06-13,4.540000,4.610000,4.530000,4.600000,4.583003,1165700
2019-06-14,4.570000,4.600000,4.550000,4.560000,4.543151,1190500
2019-06-17,4.550000,4.570000,4.480000,4.500000,4.483373,3518600
2019-06-18,4.530000,4.530000,4.490000,4.510000,4.493336,2532800
2019-06-19,4.450000,4.450000,4.330000,4.380000,4.363816,3154600
2019-06-20,4.370000,4.390000,4.350000,4.370000,4.353853,2347000
2019-06-21,4.330000,4.370000,4.320000,4.320000,4.304038,14511500
2019-06-24,4.310000,4.360000,4.310000,4.330000,4.314001,1483600
2019-06-25,4.340000,4.380000,4.320000,4.330000,4.314001,947500
2019-06-26,4.360000,4.380000,4.340000,4.350000,4.333927,969200
2019-06-27,4.310000,4.350000,4.310000,4.330000,4.314001,1253500
